标题,地址,户型,面积,朝向,装修情况,层数,建造时间,楼型,总价,每平米单价,关注人数,带看次数,发布时间,标签,详情链接,房源标签,核心卖点,小区介绍,周边配套,交通出行,税费解析,权属抵押,上次交易,挂牌时间,交易权属,房屋用途,房屋年限,产权所属,抵押信息,交易属性,户型分间,解析状态
此房满五唯一，税费少，业主诚意卖,"中海日辉台 , 坂田",2室1厅,63.43平米,东,简装,中楼层(共6层),2005年,塔楼,270 万,42567 元,38,,,近地铁 | VR看装修 | 房本满五年,https://sz.lianjia.com/ershoufang/105109226514.html,地铁 | VR看装修 | 房本满五年,房子满五年唯一，税费少，视野开阔，采光充足,小区英文名Sunshine Aloha，整体采用夏威夷情态建筑群落风格，住宅楼型为多层与小高层相结合，户型主要以小三房为主。备案名称日辉台花园，是坂田容ji率低的小区，才1.7，达到别墅的容ji率，绿hua率65%，最早一栋拿预售的时间是2004年9月22日。,小区西南处2公里有坂田天虹、佳华大型商场，小区北面有万科城饮食街，西门100米就是公园,1.地铁，十号线贝尔站就在楼下，连接华南城，华为，莲花山，会展zhong心，福田口岸 2.高速，2公里到G94珠三角，2.5公里上清平高速，3.5公里上南坪快速 3.公交，有34条公交线路，快速直达深圳各个板块,,,2010-12-01,2021-11-11,商品房,普通住宅,满五年,非共有,无抵押,挂牌时间:2021-11-11 | 交易权属:商品房 | 上次交易:2010-12-01 | 房屋用途:普通住宅 | 房屋年限:满五年 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:已上传房本照片,客厅 / 20.95平米 / 东 / 落地窗 ; 卧室A / 12.3平米 / 无 / 未知窗户类型 ; 卧室B / 8.27平米 / 无 / 未知窗户类型 ; 厨房 / 4.59平米 / 无 / 普通窗 ; 卫生间 / 3.37平米 / 南 / 落地窗 ; 阳台A / 2.85平米 / 东 / 普通窗 ; 阳台B / 3.58平米 / 北 东 南 / 普通窗,
地铁口物业，电梯房，位置佳，业主诚心出售，欢迎带看,"绿怡居 , 坂田",1室1厅,51.53平米,南,,高楼层(共23层),2003年,板塔结合,180 万,34932 元,0,,,近地铁 | VR房源,https://sz.lianjia.com/ershoufang/105115359150.html,地铁 | VR房源,地铁口物业，带电梯，交通便利，位置佳，欢迎带看。,绿怡居与富豪花园是同一个开发商建造，小区是由低层楼梯房，和高层电梯房组成。占地6000平共909户，1992年批地2003年竣工，与占地约27000㎡共425户的富豪花园共享一个大园林，同一个物业。小区北门就是环中线坂田A出口，是真正的地铁口小区,绿怡居位于龙岗区布吉镇坂田长坑地段布龙公路168号，1到4楼有6000㎡底商，北侧有万科商写综合体在建。300米旭景二期内有旭景幼稚园。400m有大族云峰商场；距小区300米有两万㎡万科里。2km内有阳光湾畔、8号仓、坂田天虹等商场。1km有坂田医院,"交通四通八达,小区在布龙路坂雪岗大道两大动脉交汇西南侧,南面1km上坂银南坪,通达福田南山方便；东面两个灯位上清平水官,通达罗湖盐田惠州；西侧2km上G94,通达宝安东莞广州；北达天安和华为。北门即5号线坂田地铁口,1站换10号线到福田口岸,东门即公交站",,,暂无数据,2023-11-17,商品房,普通住宅,暂无数据,非共有,有抵押,挂牌时间:2023-11-17 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 | 房本备件:未上传房本照片,客厅 / 16.93平米 / 北 / 普通窗 ; 卧室 / 9.83平米 / 北 / 普通窗 ; 厨房 / 2.77平米 / 东 / 普通窗 ; 卫 / 4.23平米 / 无 / 无窗 ; 阳台 / 4.68平米 / 北 东 / 普通窗,
信义嘉御山 4室2厅 南,"信义嘉御山 , 坂田",4室2厅,169.78平米,南,,高楼层(共31层),2013年,板塔结合,1090 万,64201 元,0,,12天以前发布,近地铁 | VR房源,https://sz.lianjia.com/ershoufang/105122243441.html,地铁 | VR房源,,,,,,,暂无数据,2025-09-25,商品房,普通住宅,暂无数据,非共有,有抵押 900万元,挂牌时间:2025-09-25 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 900万元 | 房本备件:未上传房本照片,客厅 / 47.45平米 / 无 / 未知窗户类型 ; 卧室A / 12.62平米 / 南 / 普通窗 ; 卧室B / 8.69平米 / 北 / 落地窗 ; 卧室C / 34.03平米 / 无 / 未知窗户类型 ; 卧室D / 13.6平米 / 南 / 普通窗 ; 厨房 / 7.14平米 / 北 / 落地窗 ; 卫生间A / 3.92平米 / 无 / 未知窗户类型 ; 卫生间B / 4.93平米 / 无 / 未知窗户类型 ; 阳台A / 7.11平米 / 西 北 东 / 落地窗 ; 阳台B / 8.78平米 / 西 东 南 / 普通窗 ; 储物间 / 2.41平米 / 无 / 无窗 ; 过道A / 1.49平米 / 无 / 无窗 ; 过道B / 4.05平米 / 无 / 无窗,
地铁口 高楼层户型方正 满两年税费少 高楼层视野开阔,"和成嘉业 , 坂田",3室2厅,92.63平米,东北,精装,中楼层(共31层),2020年,,470 万,50740 元,3,,,近地铁 | VR看装修 | 房本满五年,https://sz.lianjia.com/ershoufang/105118566315.html,地铁 | VR看装修 | 房本满五年,满两年税费少  价格可谈 坂田次新小区，保养好可直接拎包入住,"小区由金和成开发和管理,于2016年批地,2020年入伙,共有800多户,两层车库,车位不紧张,车位1：1，主力户型为82-89-91-118-140平,3-5房都是带装修交楼,采光好,围合式建筑风格,人车分流,小区地势高,通风好,",小区自带乒乓球室、棋牌室及锻炼器材广场。门口有华润万家，钱大妈，龙华大润发沃尔玛往返车等满足业主的日常需求。步行700米可至杨美美食街，鑫华盛百货，美家福百货等。距离深圳坂田医院2500米。3公里内有坂田天虹，佳华领汇广场，8号仓，星河。,（参靠高德地图）地铁5号线杨美站C出口792米，西至前海湾东至黄贝岭。东南门M572路可直达终点深圳北站或步行792米至杨美地铁公交站有多条公交路线可达深圳各区域。可直上布龙路、清平、南坪、水官，坂银隧道已建成通车，实现10公里至福田皇岗立交。,,,2019-12-05,2024-10-12,商品房,普通住宅,满五年,非共有,有抵押 240万元 招商银行,挂牌时间:2024-10-12 | 交易权属:商品房 | 上次交易:2019-12-05 | 房屋用途:普通住宅 | 房屋年限:满五年 | 产权所属:非共有 | 抵押信息:有抵押 240万元 招商银行 | 房本备件:已上传房本照片,客厅 / 19.92平米 / 西北 / 普通窗 ; 卧室A / 6.73平米 / 东北 / 普通窗 ; 卧室B / 13.27平米 / 无 / 未知窗户类型 ; 卧室C / 8.57平米 / 无 / 未知窗户类型 ; 厨房 / 6.55平米 / 东北 / 普通窗 ; 卫A / 3.61平米 / 东南 / 普通窗 ; 卫B / 3.09平米 / 东北 / 普通窗 ; 阳台 / 4.53平米 / 西南 西北 东北 / 普通窗 ; 过道 / 2.93平米 / 无 / 无窗,
此房满五年红本，前后大院子，适合养老居住.,"万科四季花城二期 , 坂田",3室2厅,103.55平米,东,简装,6层,2000年,板楼,520 万,50218 元,39,,,近地铁 | VR看装修,https://sz.lianjia.com/ershoufang/105113472473.html,地铁 | VR看装修,"此房满五年红本，前后大院子，适合养老居住,院子有两个，",小区由万科地产集团开发，一共有36个独立苑，共分七期开发，花园式小区，绿化植被很多，带露天游泳池和健身会所及相应运动器械供住户健身，社区运动氛围棒；万科物业24小时严格管控，夜间有保安巡逻，外人基本无法随意出入，人车分流，充分保护行人安全。,小区内有博雅幼儿园、海丽达幼儿园等，商场类有华润万家，五和购物广场、海达和成购物广场、坂田民营市场等。医疗类有深圳坂田医院、龙华人民医院、布吉医院。,小区东门距离地铁5号线和10号线50米，地铁连接的站点有深圳北站、布吉、太安、黄贝岭、宝安、前海湾（以上都为地铁中转站）交通发达，有布龙路、梅观高速、机荷高速、南坪快速等，乘坐公交或驾车出行到福田、罗湖、南山等地较方便城社康医院（小区内）；,,,暂无数据,2023-04-24,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2023-04-24 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,客厅 / 34.77平米 / 西 东 / 普通窗 ; 卧室A / 14.16平米 / 西 / 落地窗 ; 卧室B / 8.18平米 / 西 / 普通窗 ; 卧室C / 13.64平米 / 东 / 普通窗 ; 厨房 / 5.67平米 / 西 / 普通窗 ; 卫生间 / 3.47平米 / 北 / 普通窗 ; 花园A / 22.98平米 / 北 东 南 / 普通窗 ; 花园B / 14.86平米 / 西 北 南 / 普通窗 ; 过道 / 3.14平米 / 无 / 无窗,
红本满五 税费低 地铁近  双阳台 采光好 三楼很通透,"万科四季花城二期 , 坂田",3室2厅,103.28平米,东,简装,6层,2000年,板楼,425 万,41151 元,4,,23天以前发布,VR看装修 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105122132309.html,VR看装修 | 房本满五年 | 随时看房,红本满五年，租费低，双地铁口，前后双阳台，急卖急卖急卖,小区由万科地产集团开发，一共有36个独立苑，共分七期开发，花园式小区，绿化植被很多，带露天游泳池和健身会所及相应运动器械供住户健身，社区运动氛围棒；万科物业24小时严格管控，夜间有保安巡逻，外人基本无法随意出入，人车分流，充分保护行人,小区内有2个公立幼儿园、海丽达等，商场类有华润万家，海达和成购物广场、伍和五广场，8号仓奥特莱斯等。深圳坂田医院、第二儿童医院，花城社康医院（小区内）；网球场，篮球场，健身会所等！,地铁5号线和10号线五和站A口，交通发达，小区旁边有布龙路、梅观高速、机荷高速、南坪快速等，乘坐公交或驾车出行到福田、罗湖、南山等地较方便（距离信息来源于百度地图）还有在修的深大城际和深惠城际,,,2011-01-31,2025-09-14,商品房,普通住宅,满五年,非共有,无抵押,挂牌时间:2025-09-14 | 交易权属:商品房 | 上次交易:2011-01-31 | 房屋用途:普通住宅 | 房屋年限:满五年 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:已上传房本照片,客厅 / 35.11平米 / 西 东 / 普通窗 ; 卧室A / 16.59平米 / 无 / 未知窗户类型 ; 卧室B / 9.92平米 / 西 / 落地窗 ; 卧室C / 8.2平米 / 西 / 落地窗 ; 厨房 / 5.47平米 / 西 / 普通窗 ; 卫A / 4.37平米 / 北 / 普通窗 ; 卫B / 3.01平米 / 东 / 普通窗 ; 阳台A / 3.85平米 / 北 东 东北 南 东南 / 普通窗 ; 阳台B / 3.23平米 / 西 北 / 普通窗,
四季花城50平花园 精装修 可以直接拎包入住,"万科四季花城六期 , 坂田",3室2厅,116.01平米,东南,,低楼层(共7层),2002年,板楼,560 万,48272 元,7,,,近地铁 | VR看装修 | 随时看房,https://sz.lianjia.com/ershoufang/105120104596.html,地铁 | VR看装修 | 随时看房,产权满五年，税少，50平花园 位置安静,小区由万科地产集团开发，一共有36个独立苑，共分七期开发，花园式小区，绿化植被很多，带露天游泳池和健身会所及相应运动器械供住户健身，社区运动氛围棒；万科物业24小时严格管控，夜间有保安巡逻，外人基本无法随意出入，人车分流，充分保护行人!,小区内有2个公立幼儿园、海丽达幼儿园，华润万家，五和购物广场、海达和成购物广场、坂田民营市场等。医疗类有深圳坂田医院、龙华人民医院、布吉医院花城社康医院（小区内）；银行为招商银行、中国银行、民生银行自助机及平安银行等，各式卖菜.,地铁5号线和10号线五和站A口350米，交通发达，小区旁边有布龙路、梅观高速、机荷高速、南坪快速等，乘坐公交或驾车出行到福田、罗湖、南山等地较方便（距离信息来源于百度地图）还有在修的深大城际和深惠城际,,,暂无数据,2025-03-19,商品房,普通住宅,暂无数据,共有,无抵押,挂牌时间:2025-03-19 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,客厅 / 29.85平米 / 东 / 落地窗 ; 餐厅 / 12.94平米 / 西 北 南 / 落地窗 ; 卧室A / 12.52平米 / 无 / 未知窗户类型 ; 卧室B / 12.47平米 / 西南 东北 东南 / 落地窗 ; 卧室C / 16.19平米 / 南 / 普通窗 ; 厨房 / 6.45平米 / 西 / 普通窗 ; 卫A / 3.4平米 / 东 / 普通窗 ; 卫B / 4.33平米 / 南 / 普通窗 ; 阳台A / 5.71平米 / 东 / 落地窗 ; 阳台B / 7.82平米 / 西 东 南 / 普通窗 ; 过道 / 6.56平米 / 无 / 无窗,
华为地铁口，四米五层高精装复式，通燃气高层采光好,"华创云轩 , 坂田",2室2厅,34.15平米,东南,精装,21层,2018年,板楼,106 万,31040 元,6,,,近地铁 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105108595483.html,地铁 | 房本满五年 | 随时看房,华为地铁口，四米五层高精装复式，通燃气高层采光好,华创云轩占地面积：12553平方米 共2栋，其中A栋20层，B栋21层 小区有地下停车场车位充足，有四层商场，4楼为空中花园。,配套有楼下四层的长龙mall商场，万科城风情购物街、天虹商场、坂田购物广场，天安云谷大型商场，百佳华商场，小区自带上下四层的商场,华创云轩位于深圳市龙岗区坂雪岗科技城， 华为总部基地，交通便利，梅观高速、南坪快速、坂雪岗大道等交通，坂银隧道已开通去往罗湖福田很便利,,,2018-05-15,2021-09-01,商品房,商业办公类,满五年,非共有,有抵押 79万元 金融公司垫资,挂牌时间:2021-09-01 | 交易权属:商品房 | 上次交易:2018-05-15 | 房屋用途:商业办公类 | 房屋年限:满五年 | 产权所属:非共有 | 抵押信息:有抵押 79万元 金融公司垫资 | 房本备件:已上传房本照片,客厅 / 14.93平米 / 南 / 落地窗 ; 卧室A / 7.18平米 / 南 / 落地窗 ; 卧室B / 6.11平米 / 北 / 普通窗 ; 厨房 / 3.41平米 / 北 / 普通窗 ; 卫 / 2.53平米 / 北 / 普通窗 ; 过道 / 3.98平米 / 无 / 无窗,
嘉霖华禧，朝南三房，看花园，采光好，装修保养好,"嘉霖华禧 , 坂田",3室2厅,87.22平米,南,精装,高楼层(共33层),2017年,塔楼,370 万,42422 元,9,,,近地铁 | VR看装修 | 随时看房,https://sz.lianjia.com/ershoufang/105118954304.html,地铁 | VR看装修 | 随时看房,满五年，少量欠款，中高楼层，朝南看花园，采光好，自住装修,嘉霖华禧小区位于深圳市龙岗区坂田街道，由深圳市嘉兴福房地产开发建成，总建筑面积78718.8，总占地面积18361.9，共计房屋773户，小区物业为深圳市嘉盈物业！,,小区位于深圳市坂雪岗科技城坂澜大道与环城北路交汇处，属于深圳中部发展轴心。坂澜大道、坂银通道、梅观高速、机荷高速等多条高速、快速干道出入，交通十分便利. 地铁10号线雪象站已通车，小区门口有：市人民医院坂田院区公交站，有直达深圳各个区域,,,2024-11-18,2024-11-18,商品房,普通住宅,未满两年,非共有,有抵押 230万元,挂牌时间:2024-11-18 | 交易权属:商品房 | 上次交易:2024-11-18 | 房屋用途:普通住宅 | 房屋年限:未满两年 | 产权所属:非共有 | 抵押信息:有抵押 230万元 | 房本备件:已上传房本照片,客厅 / 25.25平米 / 南 / 普通窗 ; 卧室A / 8.64平米 / 无 / 未知窗户类型 ; 卧室B / 11平米 / 无 / 未知窗户类型 ; 卧室C / 9.58平米 / 无 / 未知窗户类型 ; 厨房 / 5.92平米 / 西 / 普通窗 ; 卫 / 4.02平米 / 无 / 未知窗户类型 ; 阳台 / 4.64平米 / 南 / 普通窗 ; 过道 / 4.13平米 / 无 / 无窗,
佳兆业一期，华为旁，中高楼层采光好视野开阔，带入户,"佳兆业中央广场一期 , 坂田",3室2厅,88.65平米,北,精装,低楼层(共48层),2013年,塔楼,460 万,51890 元,0,,,近地铁 | VR看装修 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105120941399.html,地铁 | VR看装修 | 房本满五年 | 随时看房,房子满五年非唯一红本在手，精装修，保养好，可拎包入住。,小区总共分为6期开发建设，壹万多户的大社区，总占地约三十万，项目总建面约壹佰捌拾万平左右，十五万平米综合MALL，加270米酒店（六期项目），新社区，人车分流，社区有自己的健身广场和花园，园林式社区,新社区，人车分流，24小时保安轮流值班，社区有自己的健身广场和花园，园林式社区。依托高新技术产业园，佳兆业城市广场物业形态丰富，集住宅、酒店于一体。小区左边是天安云谷、华为总部基地，配套齐全,10号线双地铁物业，项目是挨着坂雪岗大道和坂澜大道，沿着坂雪岗大道可以去梅林关，也可以转布龙路转南坪快速和水官高速，也可以从转贝尔路再转梅关高速，上坂澜大道可以去观澜也可以去平湖；多条公交路线直达罗湖、福田，交通很便利,,,2013-08-19,2025-06-03,商品房,普通住宅,满五年,非共有,无抵押,挂牌时间:2025-06-03 | 交易权属:商品房 | 上次交易:2013-08-19 | 房屋用途:普通住宅 | 房屋年限:满五年 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:已上传房本照片,客厅 / 25.92平米 / 北 南 / 普通窗 ; 卧室A / 8.78平米 / 无 / 未知窗户类型 ; 卧室B / 13.69平米 / 无 / 未知窗户类型 ; 卧室C / 8.14平米 / 无 / 未知窗户类型 ; 厨房 / 5.04平米 / 西 / 普通窗 ; 卫A / 4.56平米 / 无 / 未知窗户类型 ; 卫B / 3.78平米 / 北 / 普通窗 ; 阳台A / 3.06平米 / 西 / 普通窗 ; 阳台B / 4.74平米 / 西 北 东 / 普通窗 ; 过道 / 2.99平米 / 无 / 无窗 ; 门厅 / 8.93平米 / 北 / 落地窗,
