标题,地址,户型,面积,朝向,装修情况,层数,建造时间,楼型,总价,每平米单价,关注人数,带看次数,发布时间,标签,详情链接,房源标签,核心卖点,小区介绍,周边配套,交通出行,税费解析,权属抵押,上次交易,挂牌时间,交易权属,房屋用途,房屋年限,产权所属,抵押信息,交易属性,户型分间,解析状态
正兆.茗语华苑 2室1厅 随时可看 价格可谈 高楼层,"正兆 · 茗语华苑 , 观澜",2室1厅,63.49平米,东南,简装,中楼层(共32层),2014年,,123 万,19374 元,7,,22天以前发布,VR看装修 | 随时看房,https://sz.lianjia.com/ershoufang/105122139631.html,VR看装修 | 随时看房,满五唯一 采光通透落地窗 高尔夫场地景观视野,"1.｜开发商 正兆.

2.｜小区一共7栋楼，1736户人家，容积率3.5，绿化率30%.

3.｜正兆物业管理，门禁岗位值班，物业费合理。","1.｜黎光社区公园.

2.｜大屏障森林公园，看荷花池满塘春色，登高望远强身健体.","1.｜龙华大道、梅观高速，40分钟直达福田.

2.｜M 510、M135楼下公交站直达4号线长湖站.",,,暂无数据,2025-09-15,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2025-09-15 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,,
户型方正，次新房，刚需优选，高实用率,"阳基御龙山 , 观澜",2室1厅,63.64平米,西南,精装,30层,2018年,板塔结合,210 万,32999 元,8,,,VR房源,https://sz.lianjia.com/ershoufang/105116848361.html,VR房源,户型方正，实用率高，刚需上车好房,小区2018年建成，总建筑面积117475，总占地面积20176.4，共计房屋1082户，小区物业公司为深圳市阳基物业管理有限公司，物业管理费3.8元/平方。小区有地面花园，绿化好，有儿童乐园，康乐设施，文体馆，有12班公立幼儿园，门口还有社区公园。,,交通方便，小区门口有公交站，公交可以直达龙华，也可以转乘地铁，离长湖地铁站约1.3公里。,,,暂无数据,2024-04-30,商品房,普通住宅,暂无数据,非共有,有抵押 客户偿还,挂牌时间:2024-04-30 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 客户偿还 | 房本备件:未上传房本照片,客厅 / 21.22平米 / 西南 / 普通窗 ; 卧室A / 7.3平米 / 西北 / 落地窗 ; 卧室B / 10.96平米 / 西南 / 落地窗 ; 厨房 / 4.65平米 / 西北 / 普通窗 ; 卫生间 / 2.93平米 / 西北 / 落地窗 ; 阳台 / 3.47平米 / 西南 / 普通窗,
花园水库双景生态宜居配套完善满五唯一,"招商锦绣观园 , 观澜",2室2厅,63.88平米,东北,简装,中楼层(共28层),2014年,板楼,176 万,27552 元,2,,,VR看装修 | 房本满五年,https://sz.lianjia.com/ershoufang/105120770708.html,VR看装修 | 房本满五年,临茜坑水库享优美生态，自带公立幼儿园，主力 65 平两房。,,,,满五唯一，可免增值税及个人所得税，购房者仅需承担少量契税，购房成本低。,,2011-07-02,2025-05-18,商品房,普通住宅,满五年,共有,无抵押,挂牌时间:2025-05-18 | 交易权属:商品房 | 上次交易:2011-07-02 | 房屋用途:普通住宅 | 房屋年限:满五年 | 产权所属:共有 | 抵押信息:无抵押 | 房本备件:已上传房本照片,,
临茜坑水库享优美生态朝花园安静,"招商锦绣观园 , 观澜",2室2厅,61.65平米,东北,简装,低楼层(共28层),2014年,板楼,150 万,24331 元,9,,,VR看装修 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105121352349.html,VR看装修 | 房本满五年 | 随时看房,满五唯一、花园风景房、安静生态宜居、配套完善，自带公立幼儿园,小区内有公立幼儿园，两公里左右有两所公交书包、福城天虹、茜坑和竹村双地铁口。楼下有社康、党群、室内恒温游泳池、洗修车店等各类生活配套齐全。,,前后门均有公交站台，两个站到茜坑、竹村地铁口，自驾可通过机荷高速、观澜大道出行。,,,2014-03-06,2025-07-06,商品房,普通住宅,满五年,共有,无抵押,挂牌时间:2025-07-06 | 交易权属:商品房 | 上次交易:2014-03-06 | 房屋用途:普通住宅 | 房屋年限:满五年 | 产权所属:共有 | 抵押信息:无抵押 | 房本备件:已上传房本照片,客厅 / 19.56平米 / 东北 / 普通窗 ; 卧室A / 6.34平米 / 东南 / 普通窗 ; 卧室B / 8.51平米 / 东北 / 普通窗 ; 厨房 / 4.67平米 / 无 / 普通窗 ; 卫 / 1.96平米 / 东南 / 普通窗 ; 阳台A / 1.8平米 / 东北 / 普通窗 ; 阳台B / 3.72平米 / 东北 / 普通窗,
此房满五唯一，格局好，楼层适中,"正兆 · 茗语华苑 , 观澜",2室2厅,63.93平米,东南,简装,低楼层(共32层),2014年,塔楼,125 万,19553 元,13,,,VR看装修 | 随时看房,https://sz.lianjia.com/ershoufang/105121197373.html,VR看装修 | 随时看房,此房满五唯一，业主诚心卖，价格可谈，低楼层，无噪音,,22号线地铁在建，步行500米到，出门就有公交站，高速在旁边，半小时到福田,,,,暂无数据,2025-06-24,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2025-06-24 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,,
中森公园华府精装大4房，看花园，高楼层，视野开阔,"中森公园华府 , 观澜",4室2厅,121.82平米,南 北,简装,高楼层(共30层),2019年,板塔结合,355 万,29142 元,10,,,VR房源,https://sz.lianjia.com/ershoufang/105114650220.html,VR房源,房子是装修好的，目前空置，看房都很方便的。,环境优美，双公园，精心布置叠溪谷、栖风林、半月湾等六大主题公园，居住舒适度高。,,,,,暂无数据,2023-08-29,商品房,普通住宅,暂无数据,非共有,有抵押 工商银行,挂牌时间:2023-08-29 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 工商银行 | 房本备件:未上传房本照片,客厅 / 28.56平米 / 无 / 未知窗户类型 ; 卧室A / 11.92平米 / 无 / 未知窗户类型 ; 卧室B / 8.66平米 / 南 / 落地窗 ; 卧室C / 12.02平米 / 无 / 未知窗户类型 ; 卧室D / 10.49平米 / 无 / 未知窗户类型 ; 厨房 / 8.21平米 / 东 南 / 普通窗 ; 卫生间A / 4.38平米 / 无 / 未知窗户类型 ; 卫生间B / 4.62平米 / 南 / 落地窗 ; 阳台 / 6.79平米 / 西 北 东 / 普通窗 ; 过道 / 6.24平米 / 无 / 无窗 ; 衣帽间 / 5.68平米 / 无 / 无窗,
诚意卖，地铁口好房，户型方正，采光通风好,"合正观澜汇二期 , 观澜",3室2厅,96.06平米,东南 西北,精装,32层,2023年,板塔结合,420 万,43723 元,1,,,近地铁 | VR看装修,https://sz.lianjia.com/ershoufang/105120737832.html,地铁 | VR看装修,诚意卖，地铁口好房，户型方正，采光通风好，出行便利，配套齐全,小区楼下有社区花园，儿童娱乐设施，老人活动区域，地铁就在楼下，出行交通便利，绿化设施完善，图书管就在楼下，社区安静舒适。,,地铁就在小区楼下，公交车站也在楼下，主交通观澜大道，离高速路口也近，出行便利,,,暂无数据,2025-05-15,商品房,普通住宅,暂无数据,非共有,无抵押,挂牌时间:2025-05-15 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:未上传房本照片,,
观澜长湖地铁站全新3房1卫东南向视野佳拎包入住,"万科启城 , 观澜",3室2厅,79.13平米,东南,精装,低楼层(共48层),2023年,板塔结合,330 万,41704 元,2,,,近地铁 | VR看装修,https://sz.lianjia.com/ershoufang/105121089679.html,地铁 | VR看装修,此房是全新3房，全屋定制了家私电器可以拎包入住，近地铁站,,,,,,暂无数据,2025-06-14,商品房,普通住宅,暂无数据,非共有,有抵押,挂牌时间:2025-06-14 | 交易权属:商品房 | 上次交易:暂无数据 | 房屋用途:普通住宅 | 房屋年限:暂无数据 | 产权所属:非共有 | 抵押信息:有抵押 | 房本备件:未上传房本照片,,
体育公园隔壁 此新小区 精装三房诚心出售 看房方便,"珑门二期 , 观澜",3室2厅,82.62平米,东南,精装,33层,2018年,板塔结合,285 万,34496 元,0,,,VR看装修 | 房本满五年,https://sz.lianjia.com/ershoufang/105113738526.html,VR看装修 | 房本满五年,低楼层不恐高，房东30余万精装，南向看花园，82平刚需3房2卫,小区为全封闭式社区，人车分流地下3层停车场车位1:1.1，全智能社区刷卡到户，智能可视对讲系统，24小时安保及监控安全放心；小区为3梯6户公用部分宽敞舒适；小区临校背靠体育公园；2公里可到花仙谷生态园和绿色跑道，整体适合居家！,,门口E巴士和高快24等上下班快线高速直达福田/罗湖； 2公里4个红绿灯可上梅观高速和龙观快速！,,,2018-05-27,2023-05-20,商品房,普通住宅,满五年,非共有,有抵押 180万元 客户偿还,挂牌时间:2023-05-20 | 交易权属:商品房 | 上次交易:2018-05-27 | 房屋用途:普通住宅 | 房屋年限:满五年 | 产权所属:非共有 | 抵押信息:有抵押 180万元 客户偿还 | 房本备件:已上传房本照片,客厅 / 21.83平米 / 无 / 未知窗户类型 ; 卧室A / 5.8平米 / 北 东 / 落地窗 ; 卧室B / 12.07平米 / 无 / 未知窗户类型 ; 卧室C / 9平米 / 无 / 未知窗户类型 ; 厨房 / 5.85平米 / 北 东 / 落地窗 ; 卫生间A / 2.83平米 / 北 / 普通窗 ; 卫生间B / 4.01平米 / 东 南 / 落地窗 ; 阳台 / 2.12平米 / 西 东 南 / 普通窗 ; 过道 / 2.89平米 / 无 / 无窗,
地铁四号线 优质4房 精装修 满五唯一 税费少,"陶润懿峰 , 观澜",4室2厅,89.94平米,南,精装,高楼层(共32层),2016年,板楼,315 万,35024 元,10,,,近地铁 | VR看装修 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105106238433.html,地铁 | VR看装修 | 房本满五年 | 随时看房,精装四房 地铁四号线 南 北 通 通风采光好 板楼设计 满五唯一。,2017年2月1日精装交楼，小区很新。观澜河湿地公园就在小区旁边，车库出入口有新建一个公园环境优美，居民都喜欢在河边散步。龙华区政府就在小区北面，此外，观澜这边有近***平米的，片区发展.,观澜天虹 ，福城天虹 医院：观澜人民医院 邮局：中国邮政大和支局 银行：中国银行、工商银行、招商银行、农业银行、建设银行 其他：人民公园、新世纪广场。,,,,2015-08-20,2021-01-11,商品房,普通住宅,满五年,非共有,无抵押,挂牌时间:2021-01-11 | 交易权属:商品房 | 上次交易:2015-08-20 | 房屋用途:普通住宅 | 房屋年限:满五年 | 产权所属:非共有 | 抵押信息:无抵押 | 房本备件:已上传房本照片,客厅 / 25.3平米 / 南 / 普通窗 ; 卧室A / 4.97平米 / 无 / 未知窗户类型 ; 卧室B / 11.87平米 / 南 / 落地窗 ; 卧室C / 8.34平米 / 无 / 未知窗户类型 ; 卧室D / 6.68平米 / 南 / 落地窗 ; 厨房 / 3.82平米 / 无 / 未知窗户类型 ; 卫生间 / 6.2平米 / 无 / 未知窗户类型 ; 阳台 / 2.26平米 / 东 南 / 普通窗,
