标题,地址,户型,面积,朝向,装修情况,层数,建造时间,楼型,总价,每平米单价,关注人数,带看次数,发布时间,标签,详情链接
盈彩美地   三房两厅三卫 东向 带30平阳台,"盈彩美地 , 上下桥",3室2厅,133.81平米,东,精装,高楼层(共10层) ,,塔楼,172.5 万,12892 元,1,,28天以前发布,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105122284378.html
成熟次新小区，小区大，环境好，精装修，未入住,"金融街·金悦府 , 茶山镇",3室2厅,102.59平米,东南,精装,中楼层(共31层) ,,塔楼,160 万,15597 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://dg.lianjia.com/ershoufang/105119490783.html
第二教师村楼层好，视野开阔，户型方正，配套齐全,"第二教师村 , 上下桥",3室2厅,87.74平米,南,简装,中楼层(共7层) ,,板塔结合,90 万,10258 元,6,,,近地铁 | VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105107645938.html
万科金域精装一房电梯口位置诚意出售,"万科金域国际 , 厚街镇",1室1厅,44.44平米,西北,精装,高楼层(共9层) ,,板塔结合,24 万,5401 元,0,,,近地铁 | 随时看房,https://dg.lianjia.com/ershoufang/105121802211.html
厚街海逸豪庭尚都毛坯三房 低楼层光线好93平 售145万,"海逸豪庭尚都2区 , 厚街镇",3室2厅,92.96平米,北,,低楼层(共21层) ,,塔楼,110 万,11834 元,3,,,VR看装修 | 房本满两年 | 随时看房,https://dg.lianjia.com/ershoufang/105118126268.html
虎门太平广场花园 满五唯一 无欠款 看房方便,"太平广场花园 , 太平广场",2室2厅,83平米,东南,精装,中楼层(共32层) ,,塔楼,68 万,8193 元,1,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105121624458.html
保利卓越中环广场复式房，业主诚心出售，看房方便,"保利卓越中环广场 , 寮步",2室2厅,32平米,南,精装,低楼层(共22层) ,,塔楼,36.9 万,11532 元,1,,,,https://dg.lianjia.com/ershoufang/105121517824.html
地铁口物业，精装一房，全新装修，业主诚心出售,"卓越中寰 , 学院路",1室1厅,37.45平米,北,精装,10层 ,,板楼,35 万,9346 元,3,,,近地铁 | 房本满两年,https://dg.lianjia.com/ershoufang/105110762224.html
碧桂园高层南北对流三房 视野无遮挡,"大朗碧桂园 , 大朗镇",3室2厅,89.11平米,西北,,23层 ,,板塔结合,108 万,12120 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105117625855.html
大运城邦八期 金地艺境三房诚心出售 价格可议,"大运城邦益田金地艺境花园 , 凤岗镇",3室2厅,96.91平米,南,,35层 ,,塔楼,165 万,17027 元,0,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105117819127.html
业主诚心出售，自住标准，全屋定制衣柜，景观视野很好,"保利和悦滨江 , 横沥镇",3室2厅,94.27平米,南,精装,低楼层(共27层) ,,板塔结合,146 万,15488 元,1,,,VR看装修 | 随时看房,https://dg.lianjia.com/ershoufang/105120880773.html
东南朝向 满五唯一  双阳台南北对流 业主诚意出售,"富盈WO城 , 道滘镇",3室2厅,120.08平米,东南,精装,22层 ,,板塔结合,121 万,10077 元,0,,23天以前发布,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105122326674.html
南向中高层 业主诚意出售 看房方便 价格可谈,"碧桂园信鸿铜雀台 , 麻涌镇",3室2厅,98.51平米,东南,精装,33层 ,,塔楼,95 万,9644 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105116380934.html
清新精致充满艺术气息实用率高二房，广阔市府广场景观,"尚书银座 , 东莞图书馆",2室1厅,42.98平米,西 西北,精装,中楼层(共23层) ,,塔楼,94 万,21871 元,0,,29天以前发布,近地铁 | VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105122275691.html
网红小区，视野宽阔，设施配套齐全，交通出行方便,"碧桂园苹果 , 上下桥",3室2厅,130.53平米,南 北,精装,高楼层(共26层) ,,塔楼,103 万,7891 元,1,,,房本满两年 | 随时看房,https://dg.lianjia.com/ershoufang/105121373404.html
封闭式管理、户型正朝向好！诚意出售,"晓翠园 , 东莞行政中心区",4室2厅,117.95平米,东南,精装,高楼层(共8层) ,,板塔结合,120 万,10174 元,0,,,VR房源 | 房本满五年,https://dg.lianjia.com/ershoufang/105117495578.html
金湾工贸大楼 全新三房两厅 业主诚心出售,"工贸大楼 , 太平广场",2室2厅,87.68平米,南,毛坯,高楼层(共9层) ,,板楼,60 万,6844 元,2,,,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105114838160.html
莞城区.户型方正.南北通透.采光好.楼层好.视野宽阔,"东正新河北路 , 花园新村",3室1厅,73.61平米,南 北,简装,中楼层(共6层) ,,,68 万,9238 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://dg.lianjia.com/ershoufang/105117674576.html
花香十二院95平朝南高楼层业主急售！！！,"君丽花园 , 厚街镇",3室2厅,95.16平米,南,精装,高楼层(共28层) ,,板塔结合,130 万,13662 元,0,,30天以前发布,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105122265499.html
常平8号广场一房一厅出售，理财收租绝绝子,"广裕中心商贸大楼 , 常平镇",1室1厅,44.82平米,东南,简装,27层 ,,板塔结合,17.5 万,3905 元,0,,,VR看装修 | 随时看房,https://dg.lianjia.com/ershoufang/105121842428.html
沙田碧桂园，精装修高层4房，南向通透，诚心出售,"沙田碧桂园滨江豪园 , 沙田镇",4室2厅,113.2平米,南 北,精装,29层 ,,塔楼,130 万,11485 元,0,,,VR看装修 | 随时看房,https://dg.lianjia.com/ershoufang/105121847246.html
万达广场 精装一房 没欠款 保养好 近地铁口 配套成熟,"万达御湖公馆 , 厚街镇",1室1厅,60.64平米,东南,,27层 ,,板塔结合,29 万,4783 元,0,,,近地铁 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105122101621.html
中心广场美女业主靓装修两房业主诚意出售,"中心广场 , 樟木头镇",2室2厅,59.08平米,南,精装,中楼层(共21层) ,,塔楼,29.8 万,5045 元,1,,,VR看装修 | 房本满两年 | 随时看房,https://dg.lianjia.com/ershoufang/105120143645.html
：房屋通透，采光好，小区人气旺，地理位置好,"香缤城市花园 , 寮步",3室2厅,88.18平米,南,精装,高楼层(共18层) ,,塔楼,112 万,12702 元,2,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105113635973.html
金美花园电梯大二房现便宜出售，朝南,"金美花园 , 常平镇",2室2厅,89平米,南,,11层 ,,板楼,59 万,6630 元,0,,,VR房源,https://dg.lianjia.com/ershoufang/105122145096.html
三楼朝南两房 中间楼层 居家方便 自住舒适,"丽都花园 , 常平镇",2室2厅,70平米,南,,中楼层(共7层) ,,,45 万,6429 元,0,,,VR房源 | 随时看房,https://dg.lianjia.com/ershoufang/105122137762.html
约克时代精装三房，不欠款过户快，诚意出售,"约克时代 , 沙田镇",3室2厅,117.5平米,东,精装,高楼层(共22层) ,,塔楼,48 万,4086 元,1,,,房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105121674752.html
城轨口 空中 边位 小别墅 急售,"保利卓越中环广场 , 寮步",3室2厅,71.53平米,东南,精装,低楼层(共32层) ,,板塔结合,78 万,10905 元,0,,,房本满两年 | 随时看房,https://dg.lianjia.com/ershoufang/105119650492.html
楼层好，光线充足，看花园，业主诚心出售,"丰华珑远翠珑湾 , 东平街",4室2厅,139.7平米,南,精装,高楼层(共31层) ,,塔楼,485 万,34718 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://dg.lianjia.com/ershoufang/105115729767.html
采光足，视野好，户型方正，业主带车位出售。,"碧桂园珑远紫宸府 , 石碣镇",3室2厅,124.27平米,南,精装,25层 ,,板塔结合,190 万,15290 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105113629791.html
虎门万达商圈地铁口精装三房 2015年小区精装修出售,"虎门客天下 , 万达",3室2厅,92平米,南,,中楼层(共27层) ,,板楼,133 万,14457 元,1,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105114896009.html
全新毛坯4房，钥匙在手，小区旁有山空气好价格实惠。,"振江凤凰台 , 凤岗镇",4室2厅,140.11平米,东南,毛坯,28层 ,,板塔结合,175 万,12491 元,0,,,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105116367899.html
蔚蓝星湖大社区 户型方正 直通地下车库 采光好,"蔚蓝星湖 , 上下桥",3室1厅,110.48平米,北,简装,中楼层(共11层) ,,塔楼,135 万,12220 元,0,,,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105121091144.html
中信新天地 精装两房 双阳台户型 满五唯一免双税,"中信新天地 , 石竹",2室1厅,69.16平米,西北,,低楼层(共19层) ,,板塔结合,105 万,15183 元,1,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105121304558.html
正丰精装大三房低价出售，业主诚意出售,"正丰豪苑 , 桥头镇",3室2厅,106.95平米,东 东南,简装,6层 ,,板塔结合,70 万,6546 元,0,,7天以前发布,VR房源 | 房本满五年,https://dg.lianjia.com/ershoufang/105122490097.html
沙田庄士8号 双阳台 大3房 装修很好 保养很新,"沙田碧桂园滨江豪园 , 沙田镇",3室1厅,118.77平米,南,精装,27层 ,,塔楼,126 万,10609 元,2,,,VR看装修 | 房本满两年 | 随时看房,https://dg.lianjia.com/ershoufang/105117427533.html
万科物业小区，大社区，好楼层。,"香树丽舍 , 南城车站",2室2厅,68.92平米,西北,,高楼层(共18层) ,,塔楼,98 万,14220 元,2,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105121486148.html
万科朗润园  70年产权 84平总价52万,"万科朗润园一期 , 塘厦镇",2室1厅,84.23平米,东南,精装,23层 ,,塔楼,46 万,5462 元,2,,,房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105118219194.html
采光通风好，视野好 碧桂园物业大四房  看小区花园..,"松湖碧桂园·天钻 , 大岭山镇",4室2厅,125.05平米,南,精装,低楼层(共32层) ,,板塔结合,230 万,18393 元,1,,,VR看装修 | 房本满两年,https://dg.lianjia.com/ershoufang/105112976990.html
位置好！生活配套齐全，交通方便。,"万荟时代 , 大朗镇",2室2厅,84.96平米,东南,,低楼层(共24层) ,,塔楼,95 万,11182 元,1,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105121754511.html
业主诚心急卖，租客稳定在住，可住可租,"光大景湖春晓 , 西平",1室0厅,27.35平米,北,精装,11层 ,,板楼,33 万,12066 元,4,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105110998460.html
沿江高速口南栅富民花园96平方三房带天台花园诚心出售,"富民花园 , 太平广场",3室2厅,96平米,北,简装,高楼层(共7层) ,,板塔结合,61 万,6355 元,10,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105110581030.html
帝豪花园，二手房中的温馨小窝，一楼88平方带前后花园,"帝豪花園 , 樟木头镇",3室1厅,88平米,南,简装,低楼层(共7层) ,,塔楼,88 万,10000 元,2,,,VR房源 | 随时看房,https://dg.lianjia.com/ershoufang/105119072902.html
楼层好，满五唯一，省税费，业主自住，带精装,"华南花园 , 石龙镇",3室2厅,110.75平米,西南 西,精装,28层 ,,板塔结合,51 万,4605 元,1,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105120936748.html
蜂汇广场大单间 高楼层采光好  业主诚心出售,"G1蜂汇 , 南城车站",1室0厅,40.19平米,南,简装,高楼层(共27层) ,,板楼,29 万,7216 元,0,,,近地铁 | 房本满五年,https://dg.lianjia.com/ershoufang/105119813147.html
星光小区 2室1厅 南,"星光小区 , 清溪镇",2室1厅,85.39平米,南,精装,高楼层(共5层) ,,板楼,47.7 万,5587 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105121714341.html
沙田东港城二期，2房2厅，看花园，一手业主。,"沙田东港城 , 沙田镇",2室2厅,92.37平米,东南,精装,低楼层(共11层) ,,塔楼,70 万,7579 元,2,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105119914958.html
城区 繁华地段 优选小户型 轻松置业无压力,"富洋楼 , 花园新村",1室1厅,42.41平米,东北,简装,8层 ,,板塔结合,18 万,4245 元,2,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105121649776.html
碧桂园时代城大2房，重新装修户型方正，业主诚心出售,"碧桂园时代城 , 塘厦镇",2室2厅,83.31平米,南,精装,25层 ,,板塔结合,80 万,9603 元,2,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105121608463.html
长安花园精装两房，朝南视野好，业主诚心出售,"长安花园 , 长安新区",2室1厅,78.26平米,南,精装,11层 ,,塔楼,120 万,15334 元,2,,,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105121414883.html
汇景四期精装三房 中高楼层 满五年无欠款 看房方便,"汇景豪庭 , 厚街镇",3室2厅,101.71平米,东南,精装,22层 ,,板楼,125 万,12290 元,2,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105121619558.html
中信新天地 自住精装一房一厅 满五唯一,"中信新天地 , 石竹",1室1厅,55.05平米,东南,精装,中楼层(共19层) ,,板塔结合,85 万,15441 元,3,,,VR房源 | 房本满五年,https://dg.lianjia.com/ershoufang/105118240451.html
香港街三房 装修新 面向小区花园 景观好 看房方便,"香港街 , 八达路",3室2厅,110.03平米,西北,精装,17层 ,,板塔结合,198 万,17996 元,0,,,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105122172940.html
万科紫台190平方精装4房2厅3卫出售,"万科紫台 , 地标",4室2厅,190平米,西,精装,中楼层(共26层) ,,板塔结合,315 万,16579 元,4,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105120992113.html
4A隐贤山庄旁 山水雅居2011年毛坯房给您更多发挥空间,"山水雅居 , 常平镇",3室1厅,117.05平米,东南,毛坯,11层 ,,板塔结合,95 万,8117 元,1,,,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105119264650.html
精装步梯两房两卫低层朝南采光通风好,"富怡花园 , 花园新村",2室1厅,95.58平米,东南,精装,中楼层(共8层) ,,板塔结合,78 万,8161 元,0,,,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105121745183.html
旗峰地铁口 万科精装1房 业主诚心急售 高层朝南采光好,"万科中心 , 黄旗山",1室1厅,31.31平米,东南,精装,中楼层(共28层) ,,板楼,25 万,7985 元,0,,,近地铁 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105121788841.html
户型方正  成熟小区 交通方便 南北对流户型,"中惠悦湾 , 石碣镇",3室2厅,105.62平米,南,精装,高楼层(共26层) ,,塔楼,98 万,9279 元,2,,,VR看装修 | 房本满两年,https://dg.lianjia.com/ershoufang/105111688341.html
道滘精品复式小户型两房，实用面积60平方，空间实用。,"时代香海彼岸4期 , 道滘镇",2室2厅,40.74平米,北,毛坯,高楼层(共20层) ,,板塔结合,18 万,4419 元,0,,,房本满两年 | 随时看房,https://dg.lianjia.com/ershoufang/105119102695.html
电梯中高层  可复式可平层毛坯次新房 近人民医院,"瀚柏·青柠时代 , 客运总站",1室1厅,32.26平米,南,毛坯,高楼层(共16层) ,,塔楼,13.86 万,4297 元,2,,,房本满两年 | 随时看房,https://dg.lianjia.com/ershoufang/105120472387.html
毛坯可自由装修 中间楼层南北对流 户型好业主诚心卖,"圣河西E号 , 白马",3室2厅,89.64平米,南 北,毛坯,中楼层(共22层) ,,塔楼,185 万,20639 元,1,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105120695259.html
山景房，南。北对流，带精装，高楼层视野开阔,"名流印象花园二期 , 凤岗镇",3室2厅,88平米,东南,精装,33层 ,,板塔结合,140 万,15910 元,1,,,VR看装修 | 随时看房,https://dg.lianjia.com/ershoufang/105118580627.html
欧景城 精装三房 南北对流 满5唯一 拎包可入住,"深业欧景城 , 宏远北",3室1厅,95.9平米,南,精装,高楼层(共14层) ,,板塔结合,142 万,14808 元,0,,,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105120430907.html
虎门天虹楼上朝南三房两卫出售小区大环境好商配集中,"地标广场 , 地标",3室2厅,106.84平米,南,精装,28层 ,,板塔结合,225 万,21060 元,0,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105121692204.html
卓越弥敦道御府 2室1厅 北,"卓越弥敦道御府 , 石碣镇",2室1厅,29.46平米,北,精装,低楼层(共21层) ,,塔楼,21 万,7129 元,0,,,随时看房,https://dg.lianjia.com/ershoufang/105116413353.html
此房位于花园中间位，高层朝南 满五唯一 通风采光良好,"光大景湖春晓 , 西平",3室2厅,102.6平米,南,精装,18层 ,,板楼,215 万,20956 元,3,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105112305061.html
此房是满五唯一，房子是精装房，，户型方正，视野开阔,"金地城南艺境 , 道滘镇",3室2厅,97.02平米,南,精装,33层 ,,塔楼,118 万,12163 元,6,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105118622062.html
随时看房满五唯一；拎包入住很新；业主诚意出售,"万科金色悦府 , 宵边",3室2厅,97.61平米,南,精装,25层 ,,板塔结合,246 万,25203 元,0,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105120883823.html
