标题,地址,户型,面积,朝向,装修情况,层数,建造时间,楼型,总价,每平米单价,关注人数,带看次数,发布时间,标签,详情链接
原值高，无个税，精装修，拎包入住，次新房,"海德尚园 , 吾悦广场",3室2厅,78平米,南,精装,高楼层(共27层) ,,板塔结合,56.8 万,7283 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105119136426.html
风华丽都 精装4房 拎包入住 随时看房,"风华丽都 , 陈江",4室2厅,101.49平米,南,,中楼层(共17层) ,,塔楼,59 万,5814 元,0,,,VR看装修 | 房本满五年,https://hui.lianjia.com/ershoufang/105122005330.html
汇显城市公园，朝南看花园，安静光线好。,"汇显城市公园 , 汝湖",3室2厅,108平米,南,毛坯,27层 ,,板楼,68 万,6297 元,1,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105118805797.html
户型方正，采光好，业主装修没怎么住，配套齐,"中央国墅园 , 区政府",3室2厅,81.91平米,东南,精装,30层 ,,板塔结合,49.8 万,6080 元,1,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105118679822.html
吾悦广场旁，次新小区，没有欠款，拎包入住,"大亚湾碧桂园城央印象 , 吾悦广场",4室2厅,109.36平米,南 北,精装,中楼层(共30层) ,,板塔结合,101 万,9236 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105118911432.html
万达旁 全新精装修三房两卫 无欠款 诚心出售,"卓洲悦园 , 万达",3室2厅,97平米,南,精装,32层 ,,塔楼,75 万,7732 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105119320502.html
诚心出售，全新未住过，随时可以看房,"花样年别样城二期 , 新行政区",1室1厅,42平米,北,精装,32层 ,,塔楼,15.9 万,3786 元,2,,,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105121953113.html
物业24小时轮值安保好。人车分流,"碧桂园翠湖湾 , 新圩",4室2厅,128.64平米,东南,精装,中楼层(共31层) ,,板塔结合,83 万,6453 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105121592314.html
新小区 总共11栋 地下室全通 物业好 采光好,"方圆天俊 , 惠环",3室2厅,88.05平米,南,,低楼层(共32层) ,,板塔结合,49 万,5566 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105120472970.html
满两年 户型反正 好楼层 采光好 百万大盘 惠州南站,"惠阳雅居乐花园一期 , 南站新城",3室2厅,110平米,南,,18层 ,,板塔结合,42 万,3819 元,2,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105106726524.html
翡翠华庭 复式层 6米层高 朝南向 住家保养好,"翡翠华庭 , 河南岸",4室2厅,65.3平米,南,精装,10层 ,,板塔结合,59 万,9036 元,0,,,VR房源 | 随时看房,https://hui.lianjia.com/ershoufang/105120853405.html
皇冠花园4房  南北通透  双阳台 独门独户,"隆生皇冠花园 , 水口",4室2厅,123.36平米,南 北,毛坯,23层 ,,板楼,115 万,9323 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105122061214.html
汇显城市公园，精装修朝南光线好，配套设施齐全,"汇显城市公园 , 汝湖",3室2厅,109平米,南,精装,27层 ,,板楼,80 万,7340 元,1,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105121100129.html
业主房子诚心出售，价格可谈 有空间,"东方铂悦府 , 新行政区",3室2厅,89.68平米,南,,32层 ,,板塔结合,60.8 万,6780 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105118693685.html
电梯，隆生物业管理，大户之家，,"東湖苑 , 东平",3室2厅,165.33平米,南,,高楼层(共18层) ,,板塔结合,79.8 万,4827 元,0,,,VR看装修 | 房本满两年,https://hui.lianjia.com/ershoufang/105114568934.html
港惠商圈 河南岸金山湖交界处 景富时代 装修标准两房,"景富时代 , 河南岸",2室2厅,79.87平米,东南,简装,28层 ,,板塔结合,70 万,8765 元,1,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105111692456.html
业主诚心急售 户型方正采光好 面积使用率高,"花样年花郡 , 大亚湾中心区",3室1厅,87.44平米,南 北,毛坯,34层 ,,塔楼,27 万,3088 元,6,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105120554088.html
精装3房 朝南 安静舒适 看房方便,"和畅国际 , 惠环",3室2厅,92.01平米,南,精装,高楼层(共32层) ,,塔楼,53 万,5761 元,0,,,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105120171135.html
德威江誉城二期大社区精致一房一厅,"德威江誉城Ⅱ期 , 马安",1室1厅,42.7平米,北,精装,19层 ,,板塔结合,29 万,6792 元,2,,,VR房源 | 随时看房,https://hui.lianjia.com/ershoufang/105120770408.html
店长推荐 惠阳淡水区政府 锦江钻石 两房带装修 急急急,"新锦江公寓 , 区政府",2室2厅,76.34平米,北,,15层 ,,塔楼,30 万,3930 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105121909279.html
万达商圈 刚需小三房 南北通透双阳台,"恒安绿园 , 吾悦广场",3室2厅,81平米,南 北,毛坯,18层 ,,板塔结合,38 万,4692 元,1,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105118005589.html
翔顺花园新房精装修从未入住安静采光通风很好,"翔顺花园 , 龙丰",3室2厅,98.27平米,南,精装,中楼层(共26层) ,,板塔结合,99.5 万,10126 元,1,,,VR房源 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105120016252.html
壹城精装修4房，中高楼层，拎包入住,"壹城中心1区 , 陈江",4室2厅,118.38平米,南 北,精装,高楼层(共32层) ,,塔楼,112 万,9462 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105119898352.html
楼龄新，户型方正朝南，红本在手，业主诚心出售,"星河丹堤V2区 , 南站新城",3室2厅,100.1平米,南,毛坯,32层 ,,塔楼,100 万,9991 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105120433117.html
业主诚心出售，视野开阔欢迎多多转介,"晶地里程花园 , 西区新寮",3室2厅,90.63平米,南 北,精装,33层 ,,塔楼,57 万,6290 元,1,,,VR房源 | 随时看房,https://hui.lianjia.com/ershoufang/105121099133.html
诚心出售，随时可签，采光充足，视野开阔,"新祺园 , 新行政区",3室2厅,115.25平米,南,毛坯,32层 ,,板塔结合,74.8 万,6491 元,1,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105109883483.html
刚需住宅，住家型小区，楼间距宽，视野好,"荣盛御景澜湾 , 澳头",3室2厅,90.21平米,南,精装,33层 ,,板塔结合,58 万,6430 元,0,,,VR房源 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105121450832.html
金龟山 大峡谷 精装修两房 ，小区自带山水，景观绝美,"御玺山大峡谷一期 , 比亚迪商圈",2室1厅,69.35平米,北,精装,32层 ,,板塔结合,27 万,3894 元,1,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105117618507.html
户型方正，楼层好，采光通风良好，小区环境好，,"清泉城市广场 , 区政府",2室2厅,78平米,南,毛坯,29层 ,,板塔结合,45 万,5770 元,0,,22天以前发布,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105122428833.html
红树林惠民广场旁带车位朝南小三房，低总价好视野,"德洲中心城 , 大亚湾中心区",3室2厅,78.19平米,南,毛坯,23层 ,,板塔结合,40 万,5116 元,0,,,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105122133095.html
位于下埔和河南岸的交汇处，独立三房，配套成熟便利。,"国商大厦 , 河南岸",3室2厅,116.34平米,南,,27层 ,,板塔结合,36 万,3095 元,0,,,VR看装修,https://hui.lianjia.com/ershoufang/105122170728.html
金山湖东部德威朗琴湾，生活配套齐全！,"德威朗琴湾 , 东江新城",3室2厅,103.52平米,南,精装,低楼层(共18层) ,,板塔结合,109 万,10530 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105122092213.html
天益城商圈 米可花园 户型方正 采光好 诚意出售,"milk花园 , 陈江",4室2厅,91.32平米,南,毛坯,32层 ,,塔楼,46 万,5038 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105119678512.html
东南朝向精装修三居室 诚心出售 看房方便,"东湖花园三号小区 , 东平",3室2厅,89.24平米,南,,中楼层(共14层) ,,板楼,64 万,7172 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105122207580.html
水悦龙湾三房中高楼层可看鹿江公园西枝江视野及开阔,"龙光·水悦龙湾 , 东平",3室2厅,96.86平米,南,毛坯,高楼层(共29层) ,,板塔结合,110 万,11357 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105121301719.html
业主诚心出售  成熟片区  诚意客户价格可谈,"东信新天华府 , 江北",3室2厅,116平米,南,,24层 ,,板塔结合,70.5 万,6078 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105117528567.html
奥园天翔誉峰楼龄新，户型好，看房欢迎咨询。,"奥园天翔誉峰 , 惠环",3室2厅,113平米,南 北,,中楼层(共32层) ,,塔楼,61 万,5399 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105121906792.html
户型朝南正气，采光佳，宽敞明亮，朝花园，安静,"壹城中心1区 , 陈江",4室2厅,123.3平米,南,精装,低楼层(共32层) ,,塔楼,105 万,8516 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105121794930.html
好房源，好房源，适合一大家人居住,"荣盛花语馨苑 , 大亚湾中心区",3室2厅,80.03平米,南,简装,低楼层(共32层) ,,板楼,40 万,4999 元,1,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105121147725.html
小高层，朝向好，临深，户型好，业主诚心卖,"观山悦一期 , 万达",2室2厅,79.89平米,南,毛坯,9层 ,,板塔结合,22 万,2754 元,11,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105119845071.html
业主重新装修，全屋定制，拎包入住，户型好,"金地天润自在城一期 , 西区新寮",3室1厅,83.91平米,南 北,,33层 ,,板塔结合,76 万,9058 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105121565869.html
视野开阔，业主诚意卖，可以看江,"奥林匹克花园奥龙湾 , 江北",4室2厅,125平米,南 北,毛坯,30层 ,,,85 万,6800 元,2,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105111938190.html
合生大社区，户型方正，南北对流，配套齐全,"合生·上观国际 , 水口",5室2厅,169.54平米,西南,毛坯,高楼层(共32层) ,,板塔结合,128 万,7550 元,1,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105118157777.html
大花园位置，花园中间阳台看泳池，楼层好，视野开阔,"惠州星河盛世 , 白云新城",4室2厅,114.78平米,东南,毛坯,低楼层(共33层) ,,板塔结合,75 万,6535 元,0,,17天以前发布,VR房源 | 随时看房,https://hui.lianjia.com/ershoufang/105122488554.html
壹城四期119平 南北通4房 坐拥绚丽城市夜景,"壹城中心峰尚 , 陈江",4室2厅,119.65平米,东南 西北,毛坯,高楼层(共32层) ,,塔楼,75 万,6269 元,0,,,VR房源 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105117469859.html
马安金山新城铂钻4房 采光视野好 业主诚心出售,"铂钻花园 , 东江新城",4室2厅,114.93平米,南,毛坯,27层 ,,板塔结合,95 万,8266 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105119580655.html
业主诚心出售，大花园 ，楼层好，采光通,"花样年别样城二期 , 新行政区",3室2厅,93.37平米,南,毛坯,33层 ,,板塔结合,60 万,6427 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105115801189.html
四楼楼梯房，楼层好，总价低，位置好方便，户型实用,"益利新村 , 开城大润发",2室1厅,55.64平米,南,,中楼层(共7层) ,,板塔结合,15 万,2696 元,3,,19天以前发布,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105122457736.html
业主诚心出售 次新小区 朝南向 采光好 户型靓,"东方铂悦府 , 新行政区",4室2厅,117.64平米,南,毛坯,32层 ,,板塔结合,88 万,7481 元,0,,26天以前发布,VR房源 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105122377195.html
德洲城五期.好楼层.采光视野开阔,"德洲城五期 , 西区新寮",3室2厅,98平米,南 北,毛坯,24层 ,,板塔结合,69.8 万,7123 元,1,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105120897206.html
山湖海上城4房2厅1卫    环境好  交通便利,"山湖海上城 , 惠东县城",4室2厅,116平米,南,精装,32层 ,,塔楼,52.8 万,4552 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105121846423.html
天御二期业主诚心出售，刚需户型，明厨明卫业主诚心卖,"中洲天御二期 , 河南岸",3室2厅,93平米,南,毛坯,低楼层(共33层) ,,板塔结合,78 万,8388 元,1,,,VR房源 | 随时看房,https://hui.lianjia.com/ershoufang/105121800011.html
玫瑰园 业主自住房 装修保养好 诚心出售,"中海阳光玫瑰园 , 马安",3室2厅,95.96平米,南,精装,低楼层(共33层) ,,板楼,83 万,8650 元,0,,,VR看装修 | 房本满两年,https://hui.lianjia.com/ershoufang/105122092264.html
天御二期，南北通四房，看江景，视野采光都很好,"中洲天御二期 , 河南岸",4室2厅,122.22平米,东南,毛坯,低楼层(共27层) ,,板塔结合,119 万,9737 元,0,,,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105121631331.html
星河洋房 有两层半地下室 还带有30平米花园 欢迎来看,"星河丹堤N区 , 南站新城",5室2厅,190.69平米,东南 西北,毛坯,15层 ,,板楼,265 万,13897 元,19,,,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105115179577.html
中海阅江二期 中高楼层 全新精装修 拎包入住 有钥匙,"中海阅江府2期 , 东江新城",4室2厅,119.52平米,东南,精装,高楼层(共27层) ,,板楼,125 万,10459 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105121202656.html
红花湖南门，德和苑   两梯两户，南北通,"德和苑 , 龙丰",3室2厅,140.14平米,南,毛坯,高楼层(共18层) ,,板楼,90 万,6423 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105122216544.html
凯峰雅园临深100米锦绣壹号旁配套成熟,"凯峰雅园 , 西区新寮",3室1厅,84.35平米,南,简装,32层 ,,板塔结合,50 万,5928 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105119008321.html
好位置  好楼层  好装修  好价格,"金地天润自在城一期 , 西区新寮",4室2厅,107.45平米,西南,精装,33层 ,,板塔结合,88 万,8190 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105121026777.html
红本在手无欠款、中间楼层、装修直接拎包入住,"中兴佳苑 , 大亚湾中心区",4室2厅,109.73平米,南,精装,26层 ,,塔楼,48.8 万,4448 元,2,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105114929727.html
