标题,地址,户型,面积,朝向,装修情况,层数,建造时间,楼型,总价,每平米单价,关注人数,带看次数,发布时间,标签,详情链接
红本在手带装修 楼层好视野开阔南北对流,"仁和美地家园 , 吾悦广场",5室2厅,150.06平米,南 北,精装,32层 ,,板塔结合,110 万,7331 元,1,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105120233933.html
下埔商圈，滨江公园旁，原装电梯大三房，舒适安静,"新秀大厦 , 下埔",3室2厅,96.77平米,南 北,,中楼层(共12层) ,,板塔结合,63 万,6511 元,1,,,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105120936653.html
天宸原著 端头 边位下叠带花园,"龙湖天宸原著花园 , 河南岸",3室2厅,157.44平米,南,精装,低楼层(共6层) ,,塔楼,482 万,30615 元,0,,19天以前发布,VR房源,https://hui.lianjia.com/ershoufang/105122460026.html
临深百万大盘 南北通透 格局靓 次新房,"龙光城北十二期 , 龙光城",4室2厅,120.57平米,南 北,精装,33层 ,,板塔结合,105 万,8709 元,4,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105112937698.html
丽湾花园 2室1厅 南 北,"丽湾花园 , 博罗石湾",2室1厅,81.5平米,南 北,简装,低楼层(共20层) ,,塔楼,38 万,4663 元,1,,,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105121696849.html
3字头高楼层3房 彩光好 业主诚心出售 海伦香洲花园,"海伦堡海伦香洲 , 陈江",3室2厅,83.2平米,南,毛坯,高楼层(共32层) ,,板楼,29 万,3486 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105122220043.html
德威江誉诚花园二期3房 户型方正  采光通风不错,"德威江誉城Ⅱ期 , 马安",3室2厅,96.91平米,东南,,中楼层(共32层) ,,塔楼,82 万,8462 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105121552886.html
金山湖东部德威朗琴湾，生活配套齐全！,"德威朗琴湾 , 东江新城",3室2厅,103.52平米,南,精装,低楼层(共18层) ,,板塔结合,109 万,10530 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105122092213.html
奥园天翔誉峰楼龄新，户型好，看房欢迎咨询。,"奥园天翔誉峰 , 惠环",3室2厅,113平米,南 北,,中楼层(共32层) ,,塔楼,61 万,5399 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105121906792.html
东南朝向精装修三居室 诚心出售 看房方便,"东湖花园三号小区 , 东平",3室2厅,89.24平米,南,,中楼层(共14层) ,,板楼,64 万,7172 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105122207580.html
澳头高速出口，百万楼盘，高楼层视野采光好，随意改动,"华冠花园 , 大亚湾中心区",3室2厅,81.6平米,南,毛坯,26层 ,,板塔结合,37 万,4535 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105121960219.html
惠州车管所旁配套完善带装修2房中间楼层月租抵月供,"知本领寓 , 陈江",2室2厅,63.96平米,南,简装,中楼层(共16层) ,,板塔结合,27.2 万,4253 元,1,,,VR看装修 | 房本满五年,https://hui.lianjia.com/ershoufang/105120591497.html
次新小区，户型房正，采光通透明亮；房龄满..,"源东云锦 , 陈江",3室2厅,96.44平米,南,,中楼层(共28层) ,,板塔结合,45 万,4667 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105120702014.html
水悦龙湾三房中高楼层可看鹿江公园西枝江视野及开阔,"龙光·水悦龙湾 , 东平",3室2厅,96.86平米,南,毛坯,高楼层(共29层) ,,板塔结合,110 万,11357 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105121301719.html
好房源，好房源，适合一大家人居住,"荣盛花语馨苑 , 大亚湾中心区",3室2厅,80.03平米,南,简装,低楼层(共32层) ,,板楼,40 万,4999 元,1,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105121147725.html
光耀荷兰小城 3室1厅 北,"光耀荷兰小城 , 陈江",3室1厅,80.19平米,北,精装,33层 ,,板塔结合,46 万,5737 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105121084116.html
本栋直通地下室 楼层好 视野开阔 户型方正,"中海凯旋城凯旋华府 , 河南岸",3室2厅,118.07平米,东 东南 南,,中楼层(共30层) ,,塔楼,115 万,9740 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105120556125.html
位于下埔和河南岸的交汇处，独立三房，配套成熟便利。,"国商大厦 , 河南岸",3室2厅,116.34平米,南,,27层 ,,板塔结合,36 万,3095 元,0,,,VR看装修,https://hui.lianjia.com/ershoufang/105122170728.html
海锦香槟小镇 3室2厅 东南,"海锦香槟小镇 , 惠环",3室2厅,92.26平米,东南,,中楼层(共23层) ,,板塔结合,46.9 万,5084 元,0,,20天以前发布,VR房源 | 随时看房,https://hui.lianjia.com/ershoufang/105122453307.html
天益城商圈 米可花园 户型方正 采光好 诚意出售,"milk花园 , 陈江",4室2厅,91.32平米,南,毛坯,32层 ,,塔楼,46 万,5038 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105119678512.html
翡翠山精致两房，中高楼层看山景无遮挡，业主诚心出售,"翡翠山城君御 , 万达",2室1厅,82.07平米,东,精装,34层 ,,板塔结合,69 万,8408 元,1,,,VR房源 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105121968313.html
业主诚心出售  成熟片区  诚意客户价格可谈,"东信新天华府 , 江北",3室2厅,116平米,南,,24层 ,,板塔结合,70.5 万,6078 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105117528567.html
花园中间位置安静不吵，南北通透130平中高好楼层,"未来花园 , 东江新城",4室2厅,130平米,南 北,,高楼层(共26层) ,,塔楼,114 万,8770 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105119735147.html
急售！急售！急售！三个阳台少有户型汇鑫花园,"汇鑫花园 , 新行政区",3室2厅,123平米,南 北,毛坯,16层 ,,塔楼,45.8 万,3724 元,2,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105121494915.html
户型朝南正气，采光佳，宽敞明亮，朝花园，安静,"壹城中心1区 , 陈江",4室2厅,123.3平米,南,精装,低楼层(共32层) ,,塔楼,105 万,8516 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105121794930.html
此房满五年，万达广场旁边，70平复式精装房，拎包入住,"爱顿第三季 , 万达",2室2厅,71.62平米,南,精装,24层 ,,板塔结合,34 万,4748 元,3,,,VR房源 | 房本满五年,https://hui.lianjia.com/ershoufang/105115381132.html
业主诚心出售，红本在手，看房方便，有钥匙,"DADA的草地 , 大亚湾中心区",3室1厅,100.74平米,南,精装,32层 ,,板塔结合,29 万,2879 元,3,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105122105568.html
东湖7区 生活配套成熟 临江而居人气旺居家幸福指数高,"东湖花园七区 , 东平",4室2厅,126.41平米,东南,精装,高楼层(共18层) ,,板楼,139 万,10996 元,0,,16天以前发布,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105122491752.html
临深次新房、带产权车位、可以按装充电桩,"大中华幸福城 , 西区新寮",3室2厅,124.96平米,南,毛坯,32层 ,,板楼,85 万,6803 元,1,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105119027555.html
此房电梯高层3房，装修保养新，产权清晰，红本在手。,"南庄大厦 , 龙丰",3室2厅,120.38平米,南,精装,高楼层(共20层) ,,板楼,69 万,5732 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105120441231.html
锦绣学府 2室2厅 南,"锦绣学府 , 澳头",2室2厅,57.06平米,南,简装,30层 ,,塔楼,28.5 万,4995 元,3,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105119235527.html
临深地铁口，无个税，无欠款，诚心出售！,"大中华幸福城 , 西区新寮",3室2厅,113平米,南,毛坯,32层 ,,板楼,72 万,6372 元,1,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105121774861.html
雅居乐物业 中间楼层 视野开阔 朝南 随时看房,"卓悦华府 , 惠环",3室2厅,85.03平米,南,毛坯,31层 ,,板塔结合,37.9 万,4458 元,0,,28天以前发布,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105122360314.html
小区环境简介、适宜人群及设施配套,"未来花园 , 东江新城",3室2厅,91.16平米,南,,低楼层(共26层) ,,塔楼,75 万,8228 元,0,,26天以前发布,VR房源 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105122382856.html
地铁口 户型方正无浪费面积 楼层好 易出租,"晶地顺苑 , 西区新寮",1室0厅,40.71平米,北,毛坯,30层 ,,板塔结合,15.6 万,3832 元,4,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105120673082.html
业主急售，红本在手，随时可以看房,"口岸外商公寓 , 惠环",1室1厅,58.58平米,南,简装,9层 ,,板塔结合,13 万,2220 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105121593382.html
华邦中间好楼层，户型方正，采光好，业主诚意出售,"華邦·首府 , 惠环",3室2厅,93.39平米,东南,毛坯,中楼层(共22层) ,,板塔结合,51 万,5461 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105117490582.html
精装修 安静 看花园  户型方正,"海伦堡海伦香洲 , 陈江",3室1厅,83.43平米,南,精装,低楼层(共32层) ,,板楼,48 万,5754 元,0,,,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105122313933.html
风华世家  港惠商圈10米内  户型方正  采光通风效果好,"風華世家 , 河南岸",3室2厅,123.51平米,西南,精装,高楼层(共16层) ,,板塔结合,88 万,7125 元,0,,,VR看装修 | 房本满五年,https://hui.lianjia.com/ershoufang/105119702442.html
楼层好，户型方正，通风采光好配套成熟 业主诚心卖,"德洲城六期（二手） , 西区新寮",3室2厅,88.75平米,南,精装,26层 ,,塔楼,78 万,8789 元,0,,,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105121993324.html
东信新天华府，少有精装三房做到双阳台南北通舒适感好,"东信新天华府 , 江北",3室2厅,125平米,南,精装,28层 ,,板塔结合,90 万,7200 元,1,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105119728873.html
惠州比亚迪，三个大型商场围绕看山景两房,"缤纷TOWN一期 , 比亚迪商圈",2室2厅,80.08平米,南,毛坯,29层 ,,板塔结合,37 万,4621 元,1,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105118666738.html
楼层好，配套齐全，带装修，业主急售,"金地天润自在城二期 , 西区新寮",3室2厅,87平米,西南,精装,33层 ,,板塔结合,80 万,9196 元,0,,23天以前发布,VR房源 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105122418620.html
户型方正 业主诚心卖 价格可谈,"德丰雅苑 , 澳头",2室2厅,71.86平米,东北,,中楼层(共17层) ,,板塔结合,20 万,2784 元,0,,18天以前发布,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105122476675.html
三远大爱城 3室2厅 南,"三远大爱城 , 吾悦广场",3室2厅,88.07平米,南,毛坯,32层 ,,板塔结合,49.5 万,5621 元,2,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105119156428.html
业主诚心出售  视眼开阔  交通便利 沃尔玛商圈,"东方新天地大厦 , 澳头",1室0厅,42.84平米,东北,简装,30层 ,,板塔结合,11.7 万,2732 元,1,,,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105122056258.html
壹城好房，精装三房！拎包入住，贴瓷砖中楼层，诚心卖,"壹城中心1区 , 陈江",3室2厅,105.8平米,南,精装,高楼层(共32层) ,,塔楼,85 万,8035 元,0,,,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105121492995.html
同户型低总价南北双阳台户型方正,"蓝光雍和园 , 龙丰",4室2厅,129.56平米,东南 西北,毛坯,低楼层(共33层) ,,板楼,105 万,8105 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105119390410.html
南北通4房，高层，采光通风效果佳，看江景视野开阔，,"中骏雍景湾南区 , 河南岸",4室2厅,116.38平米,南,毛坯,高楼层(共28层) ,,板塔结合,126.8 万,10896 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105120334492.html
壹城六区南北通4房，高层视野好，看房方便,"壹城中心6区 , 陈江",4室2厅,115.78平米,南 北,毛坯,高楼层(共32层) ,,板塔结合,83.8 万,7238 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105116700716.html
湾上一品 98平朝南三房 板式楼采光好,"湾上一品 , 博罗石湾",3室2厅,97.57平米,南,,低楼层(共26层) ,,板塔结合,63.8 万,6539 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105122010640.html
万达广场旁中萃花城湾小区中间楼层三房急售,"中萃花城湾 , 万达",3室2厅,90.86平米,南,精装,26层 ,,塔楼,61 万,6714 元,2,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105120908331.html
东边户采光好，户型方正实用，视野好看江景嘎嘎的。,"德威江誉城1期 , 马安",3室2厅,88.89平米,东南,毛坯,中楼层(共33层) ,,板塔结合,72 万,8100 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105118702103.html
万达旁大社区，湖畔、山坡双公园，精装未入住,"龙海壹号 , 万达",4室2厅,105平米,北,精装,34层 ,,板塔结合,65 万,6191 元,0,,31天以前发布,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105122337749.html
中信水岸城四期玫瑰湾央企大社区,"中信水岸城四期 , 东江新城",3室2厅,112平米,南,精装,中楼层(共30层) ,,板楼,106.8 万,9536 元,1,,,VR房源,https://hui.lianjia.com/ershoufang/105121098663.html
秋谷康城 3室2厅 南,"秋谷康城 , 龙光城",3室2厅,98.23平米,南,毛坯,28层 ,,板塔结合,65 万,6618 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105120440648.html
新小区楼层好，朝花园里面，看花园，没有挡，原值高费,"星河丹堤V区 , 南站新城",4室2厅,88.15平米,南,精装,34层 ,,,89 万,10097 元,2,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105113133881.html
业主诚心出售 朝南看花园 腰斩价急售,"恒大依山海湾 , 澳头",3室2厅,99.72平米,南,毛坯,低楼层(共32层) ,,板塔结合,45 万,4513 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105119399905.html
汇乐城旁，南贸花园三期，次新小区精装三房，拎包入住,"南贸花园三期 , 水口",3室2厅,88.08平米,东南,精装,高楼层(共22层) ,,塔楼,88 万,9991 元,0,,,VR看装修 | 房本满两年,https://hui.lianjia.com/ershoufang/105120585017.html
惠阳高铁站旁，红本在手，大三房，高楼层，通风采光好,"杏林苑 , 开城大润发",3室2厅,124.29平米,北,毛坯,24层 ,,板塔结合,62 万,4989 元,0,,20天以前发布,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105122449982.html
