标题,地址,户型,面积,朝向,装修情况,层数,建造时间,楼型,总价,每平米单价,关注人数,带看次数,发布时间,标签,详情链接
丽湾花园 2室1厅 南 北,"丽湾花园 , 博罗石湾",2室1厅,81.5平米,南 北,简装,低楼层(共20层) ,,塔楼,38 万,4663 元,1,,,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105121696849.html
荷兰小城  别墅大盘 有人工湖五一公园,"光耀荷兰小城 , 陈江",4室2厅,96平米,北,精装,28层 ,,塔楼,59.8 万,6230 元,1,,,VR看装修 | 房本满五年,https://hui.lianjia.com/ershoufang/105121459517.html
运恒嘉园精装3房出售，满五唯一,"运恒嘉园 , 江北",3室2厅,96.93平米,南,精装,中楼层(共9层) ,,板楼,60 万,6191 元,1,,,VR看装修 | 房本满五年,https://hui.lianjia.com/ershoufang/105121185600.html
壹城六区南北通4房，高层视野好，看房方便,"壹城中心6区 , 陈江",4室2厅,115.78平米,南 北,毛坯,高楼层(共32层) ,,板塔结合,83.8 万,7238 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105116700716.html
南北通4房，高层，采光通风效果佳，看江景视野开阔，,"中骏雍景湾南区 , 河南岸",4室2厅,116.38平米,南,毛坯,高楼层(共28层) ,,板塔结合,126.8 万,10896 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105120334492.html
同户型低总价南北双阳台户型方正,"蓝光雍和园 , 龙丰",4室2厅,129.56平米,东南 西北,毛坯,低楼层(共33层) ,,板楼,105 万,8105 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105119390410.html
临深地铁口，无个税，无欠款，诚心出售！,"大中华幸福城 , 西区新寮",3室2厅,113平米,南,毛坯,32层 ,,板楼,72 万,6372 元,1,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105121774861.html
万达旁大社区，湖畔、山坡双公园，精装未入住,"龙海壹号 , 万达",4室2厅,105平米,北,精装,34层 ,,板塔结合,65 万,6191 元,0,,31天以前发布,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105122337749.html
万达广场旁中萃花城湾小区中间楼层三房急售,"中萃花城湾 , 万达",3室2厅,90.86平米,南,精装,26层 ,,塔楼,61 万,6714 元,2,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105120908331.html
海伦春天 黄牌户型，东南 视野开阔 看房有钥匙,"海伦春天一期 , 水口",3室2厅,103平米,东南,毛坯,33层 ,,塔楼,67 万,6505 元,0,,25天以前发布,VR房源 | 随时看房,https://hui.lianjia.com/ershoufang/105122394587.html
近仲恺高铁站，邻中韩产业园，中间楼层温馨三房诚心卖,"玖龙台 , 潼侨沥林",3室2厅,89平米,东南,,高楼层(共27层) ,,,43 万,4832 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105119997970.html
新小区，户型方正，好楼层，视野开阔,"冠华城桂香园三期 , 西区新寮",3室2厅,93.92平米,南,毛坯,33层 ,,塔楼,65 万,6921 元,1,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105119281700.html
现代花园 电梯房 证在手 4房 满5唯一 随时可看房,"现代花园 , 江北",4室2厅,122.88平米,北 南,精装,高楼层(共10层) ,,板楼,59.8 万,4867 元,0,,,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105119788224.html
桥东片区海伦堡海伦湾 带装修高层三房两卫 轻松置业,"海伦堡海伦湾 , 东平",3室2厅,110.21平米,南 北,精装,31层 ,,板塔结合,95 万,8620 元,1,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105121747029.html
隆生三期高楼层南北通双阳台大4房，业主诚心卖。,"隆生仲恺花园3区 , 陈江",4室2厅,137.93平米,南 北,,高楼层(共32层) ,,板塔结合,88 万,6381 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105120478693.html
配套设施齐全2房，下楼200米海边，海鲜市场，,"碧桂园十里银滩水蓝天 , 十里银滩",2室2厅,67平米,北,精装,30层 ,,板塔结合,21 万,3135 元,8,,,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105120287613.html
南向看小区园林，小区入住率高，生活方便,"龙光玖龙山 , 三和经济开发区",3室2厅,89.44平米,南,,32层 ,,板塔结合,53.8 万,6016 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105121816371.html
电梯房，户型格局方正，采光良好。,"鸿威金都雅苑 , 小金口",2室1厅,80.22平米,南,精装,低楼层(共30层) ,,板塔结合,36 万,4488 元,1,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105121429529.html
竹葶梦苑四房 次新房业主诚心出售,"巨德·竹葶梦苑 , 新行政区",4室2厅,95平米,南 北,毛坯,31层 ,,板塔结合,64.9 万,6832 元,0,,,VR房源 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105119245047.html
惠阳高铁站旁，红本在手，大三房，高楼层，通风采光好,"杏林苑 , 开城大润发",3室2厅,124.29平米,北,毛坯,24层 ,,板塔结合,62 万,4989 元,0,,20天以前发布,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105122449982.html
东湖花园一区 3室2厅 南,"东湖花园一区 , 东平",3室2厅,99.3平米,南,简装,高楼层(共9层) ,,板塔结合,37 万,3727 元,0,,,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105122276816.html
