标题,地址,户型,面积,朝向,装修情况,层数,建造时间,楼型,总价,每平米单价,关注人数,带看次数,发布时间,标签,详情链接
"东平  东湖苑 精装2房  单价低,诚意出售","東湖苑 , 东平",2室2厅,88.23平米,西北,简装,高楼层(共18层) ,,板塔结合,38 万,4307 元,1,,,VR看装修 | 房本满五年,https://hui.lianjia.com/ershoufang/105117614021.html
惠东平山丽江东岸，精装修，中间靓楼层,"丽江东岸 , 惠东县城",4室2厅,146.46平米,南,精装,中楼层(共32层) ,,板塔结合,108 万,7375 元,0,,,VR房源,https://hui.lianjia.com/ershoufang/105121628781.html
园景大平层2梯2户南北通视野开阔好楼层满五年,"方直君御 , 东江新城",4室2厅,190.5平米,南 北,毛坯,中楼层(共24层) ,,塔楼,276 万,14489 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105119630225.html
惠州港沃尔玛商圈，学 校成熟商圈，交通便利,"金润东方公寓 , 澳头",1室1厅,38.78平米,东,简装,28层 ,,板塔结合,13.6 万,3507 元,3,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105119828250.html
背靠板樟岭公园，视野开阔，无遮挡,"公园道花园 , 比亚迪商圈",2室2厅,72.71平米,南,精装,17层 ,,板楼,33 万,4539 元,2,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105120734145.html
中间楼层，视野开阔，采光充足，配套设施全，交通便利,"家悦龙庭 , 万达",1室2厅,48.3平米,东南,毛坯,28层 ,,塔楼,29.8 万,6170 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105114957007.html
板楼户型方正实用，109平南北通双阳台，急售可谈价,"新力城一期 , 水口",3室2厅,109.28平米,南,毛坯,低楼层(共27层) ,,板楼,70 万,6406 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105120424988.html
合生大三房户型优质 无抵押 业主急售,"合生·上观国际 , 水口",3室2厅,112平米,东南,毛坯,低楼层(共18层) ,,塔楼,82 万,7322 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105121603102.html
安居乐业，全新精装，朝南三房，业主出国急售,"南站新城 , 南站新城",3室2厅,100.27平米,南,精装,31层 ,,板塔结合,82 万,8178 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105121730795.html
视野好 看房方便 花园中间位置 诚心出售,"腾韵花园 , 陈江",2室1厅,73.22平米,南,毛坯,32层 ,,板塔结合,50 万,6829 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105122110078.html
